epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,10387.4,0.0794,0.89811,1,nan,0.00103162,0.00103162,0.00103162
79,10520.2,0.08545,0.89811,1,nan,0.00102337,0.00102337,0.00102337
80,10654.1,0.08115,0.89811,1,nan,0.00101512,0.00101512,0.00101512
81,10787.9,nan,0.89811,1,nan,0.00100687,0.00100687,0.00100687
82,10921.4,0.06623,0.89811,1,nan,0.000998616,0.000998616,0.000998616
83,11055.2,0.07457,0.89811,1,nan,0.000990365,0.000990365,0.000990365
84,11189.9,0.09012,0.89811,1,nan,0.000982113,0.000982113,0.000982113
85,11323.9,0.09784,0.89811,1,nan,0.000973861,0.000973861,0.000973861
86,11456.9,0.06688,0.89811,1,nan,0.00096561,0.00096561,0.00096561
87,11590.4,0.067,0.89811,1,nan,0.000957358,0.000957358,0.000957358
88,11723.9,0.07828,0.89811,1,nan,0.000949106,0.000949106,0.000949106
89,11857.6,0.08162,0.89811,1,nan,0.000940855,0.000940855,0.000940855
90,11989.7,0.07625,0.89811,1,nan,0.000932603,0.000932603,0.000932603
91,12124.1,0.07636,0.89811,1,nan,0.000924352,0.000924352,0.000924352
92,12257.4,0.09397,0.89811,1,nan,0.0009161,0.0009161,0.0009161
93,12391.1,0.0699,0.89811,1,nan,0.000907848,0.000907848,0.000907848
94,12524.2,0.06478,0.89811,1,nan,0.000899597,0.000899597,0.000899597
95,12658.2,0.06918,0.89811,1,nan,0.000891345,0.000891345,0.000891345
96,12790.8,0.06106,0.89811,1,nan,0.000883093,0.000883093,0.000883093
97,12923.5,0.07233,0.89811,1,nan,0.000874842,0.000874842,0.000874842
98,13056.9,0.09017,0.89811,1,nan,0.00086659,0.00086659,0.00086659
99,13191.9,0.06498,0.89811,1,nan,0.000858338,0.000858338,0.000858338
100,13326,0.06175,0.89811,1,nan,0.000850087,0.000850087,0.000850087
101,13460.1,0.06992,0.89811,1,nan,0.000841835,0.000841835,0.000841835
102,13593.8,0.055,0.89811,1,nan,0.000833583,0.000833583,0.000833583
103,13727.7,0.05373,0.89811,1,nan,0.000825332,0.000825332,0.000825332
104,13861.2,0.05603,0.89811,1,nan,0.00081708,0.00081708,0.00081708
105,13993.4,0.05892,0.89811,1,nan,0.000808828,0.000808828,0.000808828
106,14123,0.06778,0.89811,1,nan,0.000800577,0.000800577,0.000800577
107,14252.3,0.07038,0.89811,1,nan,0.000792325,0.000792325,0.000792325
108,14381.3,0.06922,0.89811,1,nan,0.000784073,0.000784073,0.000784073
109,14510.1,0.07342,0.89811,1,nan,0.000775822,0.000775822,0.000775822
110,14639.8,0.05438,0.89811,1,nan,0.00076757,0.00076757,0.00076757
111,14768.2,0.0632,0.89811,1,nan,0.000759318,0.000759318,0.000759318
112,14896.7,0.0622,0.89811,1,nan,0.000751067,0.000751067,0.000751067
113,15025.7,0.05752,0.89811,1,nan,0.000742815,0.000742815,0.000742815
