epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.9385,0.45404,0.85281,1,0.3914,0.00333094,0.00333094,0.00333094
2,137.616,0.2381,0.86941,1,0.39383,0.00663129,0.00663129,0.00663129
3,201.963,0.2242,0.86724,1,0.55329,0.00989863,0.00989863,0.00989863
4,266.301,0.25221,0.78788,1,0.60803,0.0098515,0.0098515,0.0098515
5,330.806,0.21533,0.78211,1,0.70011,0.009802,0.009802,0.009802
6,395.437,0.19992,0.87229,1,0.46947,0.0097525,0.0097525,0.0097525
7,460.167,0.18574,0.86652,1,0.49948,0.009703,0.009703,0.009703
8,524.927,0.15763,0.8658,1,0.39719,0.0096535,0.0096535,0.0096535
9,589.777,0.14863,0.90332,1,0.30431,0.009604,0.009604,0.009604
10,654.699,0.12578,0.84127,1,0.41734,0.0095545,0.0095545,0.0095545
11,719.738,0.11911,0.89971,1,0.34568,0.009505,0.009505,0.009505
12,784.721,0.10016,0.83045,1,0.56475,0.0094555,0.0094555,0.0094555
13,849.693,0.09215,0.89322,1,0.38536,0.009406,0.009406,0.009406
14,914.944,0.08106,0.829,1,0.67323,0.0093565,0.0093565,0.0093565
15,980.266,0.0731,0.89033,1,0.37559,0.009307,0.009307,0.009307
16,1045.48,0.05739,0.87302,1,0.43496,0.0092575,0.0092575,0.0092575
17,1110.65,0.06663,0.89033,1,0.40463,0.009208,0.009208,0.009208
18,1175.89,0.05987,0.88384,1,0.49462,0.0091585,0.0091585,0.0091585
19,1241.12,0.05834,0.85714,1,0.54278,0.009109,0.009109,0.009109
20,1306.5,0.04536,0.86364,1,0.58796,0.0090595,0.0090595,0.0090595
21,1371.91,0.04136,0.85931,1,0.64312,0.00901,0.00901,0.00901
22,1437.45,0.03678,0.90548,1,0.54397,0.0089605,0.0089605,0.0089605
23,1502.95,0.0377,0.85498,1,0.74261,0.008911,0.008911,0.008911
24,1568.44,0.02627,0.86724,1,0.64077,0.0088615,0.0088615,0.0088615
25,1633.89,0.02568,0.88817,1,0.59344,0.008812,0.008812,0.008812
26,1699.21,0.02662,0.87229,1,0.67734,0.0087625,0.0087625,0.0087625
27,1764.54,0.02762,0.85714,1,0.74253,0.008713,0.008713,0.008713
28,1829.86,0.02155,0.86147,1,0.70085,0.0086635,0.0086635,0.0086635
29,1895.28,0.02415,0.88456,1,0.67464,0.008614,0.008614,0.008614
30,1960.73,0.02051,0.88745,1,0.60364,0.0085645,0.0085645,0.0085645
31,2026.29,0.01668,0.90476,1,0.60933,0.008515,0.008515,0.008515
32,2091.69,0.02204,0.89827,1,0.65872,0.0084655,0.0084655,0.0084655
33,2157.23,0.02547,0.87013,1,0.57712,0.008416,0.008416,0.008416
