epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,412.043,0.28009,0.90164,1,0.4169,0.00333293,0.00333293,0.00333293
2,833.633,0.14871,0.89262,1,0.45524,0.00663327,0.00663327,0.00663327
3,1254.76,0.17863,0.87362,1,0.39487,0.00990061,0.00990061,0.00990061
4,1676.01,0.1935,0.8462,1,0.51425,0.0098515,0.0098515,0.0098515
5,2097.76,0.14034,0.89322,1,0.3737,0.009802,0.009802,0.009802
6,2520.3,0.11194,0.9026,1,0.36488,0.0097525,0.0097525,0.0097525
7,2942.22,0.08836,0.89394,1,0.42399,0.009703,0.009703,0.009703
8,3364.59,0.07768,0.88913,1,0.44429,0.0096535,0.0096535,0.0096535
9,3787.5,0.06158,0.90284,1,0.39963,0.009604,0.009604,0.009604
10,4211.27,0.05604,0.89791,1,0.43843,0.0095545,0.0095545,0.0095545
11,4634.26,0.05092,0.89514,1,0.46552,0.009505,0.009505,0.009505
12,5057.31,0.04495,0.90356,1,0.42925,0.0094555,0.0094555,0.0094555
13,5480.8,0.04525,0.9139,1,0.3922,0.009406,0.009406,0.009406
14,5904.17,0.03678,0.90428,1,0.51523,0.0093565,0.0093565,0.0093565
15,6327.82,0.0349,0.90921,1,0.45185,0.009307,0.009307,0.009307
16,6752.47,0.03442,0.90404,1,0.49078,0.0092575,0.0092575,0.0092575
17,7177.24,0.03335,0.90741,1,0.49889,0.009208,0.009208,0.009208
18,7600.71,0.03449,0.90885,1,0.46383,0.0091585,0.0091585,0.0091585
19,8024.18,0.0337,0.90789,1,0.46483,0.009109,0.009109,0.009109
20,8448.01,0.02832,0.91089,1,0.47439,0.0090595,0.0090595,0.0090595
21,8872.96,0.02786,0.91174,1,0.47161,0.00901,0.00901,0.00901
22,9298.53,0.02676,0.91126,1,0.4801,0.0089605,0.0089605,0.0089605
23,9722.88,0.02699,0.91101,1,0.4744,0.008911,0.008911,0.008911
24,10147.9,0.02736,0.90717,1,0.48821,0.0088615,0.0088615,0.0088615
25,10573.4,0.02621,0.90741,1,0.49415,0.008812,0.008812,0.008812
26,10999.2,0.02379,0.90885,1,0.49605,0.0087625,0.0087625,0.0087625
27,11425.6,0.02551,0.90885,1,0.4929,0.008713,0.008713,0.008713
28,11850.9,0.02545,0.90933,1,0.48973,0.0086635,0.0086635,0.0086635
29,12276.6,0.0227,0.90933,1,0.49042,0.008614,0.008614,0.008614
30,12702.3,0.02171,0.91005,1,0.491,0.0085645,0.0085645,0.0085645
31,13127.6,0.0245,0.91162,1,0.49205,0.008515,0.008515,0.008515
32,13552.7,0.0253,0.91222,1,0.48986,0.0084655,0.0084655,0.0084655
33,13978.6,0.02107,0.91089,1,0.49361,0.008416,0.008416,0.008416
34,14404.8,0.02477,0.91029,1,0.49459,0.0083665,0.0083665,0.0083665
35,14831.4,0.02059,0.91162,1,0.49217,0.008317,0.008317,0.008317
36,15260.9,0.02299,0.91186,1,0.49498,0.0082675,0.0082675,0.0082675
37,15690.1,0.02099,0.91186,1,0.49261,0.008218,0.008218,0.008218
38,16121.4,0.0214,0.91246,1,0.49233,0.0081685,0.0081685,0.0081685
39,16552.4,0.01984,0.9133,1,0.49228,0.008119,0.008119,0.008119
40,16983.2,0.01769,0.91607,1,0.49134,0.0080695,0.0080695,0.0080695
41,17415.1,0.02099,0.91643,1,0.49114,0.00802,0.00802,0.00802
42,17845.9,0.02243,0.91607,1,0.48969,0.0079705,0.0079705,0.0079705
43,18276.7,0.02064,0.91595,1,0.48885,0.007921,0.007921,0.007921
44,18708.2,0.02005,0.91582,1,0.48857,0.0078715,0.0078715,0.0078715
45,19139.6,0.01998,0.91595,1,0.4887,0.007822,0.007822,0.007822
46,19570.7,0.01818,0.91607,1,0.48571,0.0077725,0.0077725,0.0077725
47,20001.4,0.02043,0.91607,1,0.48186,0.007723,0.007723,0.007723
48,20432,0.01991,0.91607,1,0.48002,0.0076735,0.0076735,0.0076735
49,20862,0.01817,0.91595,1,0.4808,0.007624,0.007624,0.007624
50,21293.3,0.01917,0.91607,1,0.48151,0.0075745,0.0075745,0.0075745
51,21724.8,0.01758,0.91462,1,0.48126,0.007525,0.007525,0.007525
52,22155.8,0.016,0.9157,1,0.48117,0.0074755,0.0074755,0.0074755
53,22587.1,0.01633,0.91631,1,0.48098,0.007426,0.007426,0.007426
54,23018.7,0.01696,0.91751,1,0.47878,0.0073765,0.0073765,0.0073765
55,23450.3,0.01807,0.91691,1,0.47782,0.007327,0.007327,0.007327
56,23881.9,0.01589,0.9157,1,0.47881,0.0072775,0.0072775,0.0072775
57,24313.9,0.01969,0.91546,1,0.47902,0.007228,0.007228,0.007228
58,24745.9,0.01628,0.91643,1,0.4829,0.0071785,0.0071785,0.0071785
59,25177.9,0.01424,0.91631,1,0.48491,0.007129,0.007129,0.007129
60,25610.5,0.01929,0.91522,1,0.487,0.0070795,0.0070795,0.0070795
61,26043.3,0.01384,0.91619,1,0.49024,0.00703,0.00703,0.00703
62,26476.2,0.01539,0.91607,1,0.49066,0.0069805,0.0069805,0.0069805
63,26910,0.01542,0.91582,1,0.49253,0.006931,0.006931,0.006931
64,27343,0.01747,0.91546,1,0.49278,0.0068815,0.0068815,0.0068815
65,27775.9,0.01477,0.91546,1,0.49467,0.006832,0.006832,0.006832
66,28209.7,0.01605,0.91474,1,0.49173,0.0067825,0.0067825,0.0067825
67,28643.6,0.01552,0.9151,1,0.48882,0.006733,0.006733,0.006733
68,29076.9,0.01505,0.91546,1,0.48827,0.0066835,0.0066835,0.0066835
