epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,517.814,0.30121,0.55,1,1.24254,0.00333295,0.00333295,0.00333295
2,1022.44,0.16261,0.64583,1,0.74083,0.00663329,0.00663329,0.00663329
3,1525.65,0.18689,0.62917,1,0.72816,0.00990062,0.00990062,0.00990062
4,2026.33,0.2001,0.69167,1,0.63004,0.0098515,0.0098515,0.0098515
5,2525.6,0.1587,0.66667,1,0.69919,0.009802,0.009802,0.009802
6,3025.34,0.12373,0.75417,1,0.48871,0.0097525,0.0097525,0.0097525
7,3593.67,0.10032,0.65,1,0.78016,0.009703,0.009703,0.009703
8,4162.19,0.08361,0.69583,1,0.73017,0.0096535,0.0096535,0.0096535
9,4684.77,0.07842,0.72083,1,0.7132,0.009604,0.009604,0.009604
10,5207.44,0.06512,0.725,1,0.82298,0.0095545,0.0095545,0.0095545
11,5729.83,0.0562,0.69167,1,0.87803,0.009505,0.009505,0.009505
12,6260.05,0.05185,0.725,1,0.85828,0.0094555,0.0094555,0.0094555
13,6769.64,0.04467,0.67917,1,0.96662,0.009406,0.009406,0.009406
14,7274.06,0.04403,0.70833,1,0.92806,0.0093565,0.0093565,0.0093565
15,7779.19,0.04354,0.72083,1,0.91701,0.009307,0.009307,0.009307
16,8283.97,0.04203,0.68333,1,0.85372,0.0092575,0.0092575,0.0092575
17,8788.75,0.03986,0.67083,1,0.85202,0.009208,0.009208,0.009208
18,9294.48,0.03542,0.68333,1,0.85035,0.0091585,0.0091585,0.0091585
19,9799.76,0.03398,0.675,1,0.8566,0.009109,0.009109,0.009109
20,10306,0.03455,0.68333,1,0.94525,0.0090595,0.0090595,0.0090595
21,10811,0.03186,0.69583,1,0.96232,0.00901,0.00901,0.00901
22,11316,0.03421,0.6875,1,0.89485,0.0089605,0.0089605,0.0089605
23,11821,0.03017,0.69167,1,0.92318,0.008911,0.008911,0.008911
24,12325.8,0.0301,0.70417,1,0.94441,0.0088615,0.0088615,0.0088615
25,12830.5,0.0292,0.69167,1,0.97596,0.008812,0.008812,0.008812
26,13335.3,0.02788,0.69583,1,0.99928,0.0087625,0.0087625,0.0087625
27,13840.4,0.03097,0.69583,1,1.00898,0.008713,0.008713,0.008713
28,14344.8,0.02879,0.6875,1,1.01866,0.0086635,0.0086635,0.0086635
29,14849.7,0.02772,0.69167,1,1.01776,0.008614,0.008614,0.008614
30,15354.3,0.0272,0.69167,1,1.00908,0.0085645,0.0085645,0.0085645
31,15858.4,0.02667,0.69583,1,1.01196,0.008515,0.008515,0.008515
32,16362.4,0.02467,0.70417,1,1.02372,0.0084655,0.0084655,0.0084655
33,16866.3,0.0269,0.7,1,1.01493,0.008416,0.008416,0.008416
34,17370.4,0.02435,0.7,1,1.01347,0.0083665,0.0083665,0.0083665
35,17874.2,0.02553,0.7,1,1.0188,0.008317,0.008317,0.008317
36,18378.5,0.025,0.7,1,1.02652,0.0082675,0.0082675,0.0082675
37,18883.6,0.02275,0.69167,1,1.02716,0.008218,0.008218,0.008218
38,19389.6,0.02272,0.68333,1,1.03026,0.0081685,0.0081685,0.0081685
39,19895.9,0.025,0.675,1,1.04383,0.008119,0.008119,0.008119
40,20403.5,0.02489,0.66667,1,1.05925,0.0080695,0.0080695,0.0080695
41,20911,0.02355,0.6625,1,1.06328,0.00802,0.00802,0.00802
