epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,203.399,0.69453,0.59364,1,0.82481,0.00333092,0.00333092,0.00333092
2,399.364,0.65578,0.70571,1,0.58628,0.00663127,0.00663127,0.00663127
3,601.666,0.6841,0.63557,1,0.93882,0.00989861,0.00989861,0.00989861
4,810.191,0.70513,0.47433,1,0.71089,0.0098515,0.0098515,0.0098515
5,1009.57,0.69944,0.54519,1,0.71433,0.009802,0.009802,0.009802
6,1214.21,0.698,0.54519,1,0.70282,0.0097525,0.0097525,0.0097525
7,1422.71,0.69615,0.58351,1,0.68492,0.009703,0.009703,0.009703
8,1631.45,0.6953,0.54519,1,0.69228,0.0096535,0.0096535,0.0096535
9,1839.36,0.69149,0.55387,1,0.68466,0.009604,0.009604,0.009604
10,2048.39,0.69595,0.54736,1,0.68885,0.0095545,0.0095545,0.0095545
11,2249.42,0.69114,0.58279,1,0.66364,0.009505,0.009505,0.009505
12,2447.32,0.68201,0.61967,1,0.65561,0.0094555,0.0094555,0.0094555
13,2645.39,0.68079,0.59291,1,0.65784,0.009406,0.009406,0.009406
14,2854.16,0.68009,0.58496,1,0.67104,0.0093565,0.0093565,0.0093565
15,3053.32,0.67182,0.61894,1,0.648,0.009307,0.009307,0.009307
16,3261.8,0.66338,0.62545,1,0.65284,0.0092575,0.0092575,0.0092575
17,3470.24,0.66042,0.60304,1,0.66448,0.009208,0.009208,0.009208
18,3678.96,0.65963,0.64642,1,0.64905,0.0091585,0.0091585,0.0091585
19,3887.39,0.67102,0.66594,1,0.63035,0.009109,0.009109,0.009109
20,4096.9,0.6623,0.5893,1,0.69283,0.0090595,0.0090595,0.0090595
21,4305.93,0.66593,0.64859,1,0.66114,0.00901,0.00901,0.00901
22,4517.94,0.63246,0.74114,1,0.58498,0.0089605,0.0089605,0.0089605
23,4727.58,0.61693,0.765,1,0.48739,0.008911,0.008911,0.008911
24,4935.32,0.59725,0.74187,1,0.54918,0.0088615,0.0088615,0.0088615
25,5143.44,0.60093,0.72379,1,0.54037,0.008812,0.008812,0.008812
26,5350.96,0.58358,0.80116,1,0.46619,0.0087625,0.0087625,0.0087625
