epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.533,0.47172,0.93467,1,0.18963,0.00333094,0.00333094,0.00333094
2,133.365,0.26624,0.95118,1,0.17611,0.00663128,0.00663128,0.00663128
3,197.866,0.25023,0.91386,1,0.22975,0.00989863,0.00989863,0.00989863
4,262.423,0.26761,0.90524,1,0.25037,0.0098515,0.0098515,0.0098515
5,327.189,0.23636,0.93324,1,0.21056,0.009802,0.009802,0.009802
6,392.007,0.19852,0.93108,1,0.19788,0.0097525,0.0097525,0.0097525
7,456.963,0.19704,0.94688,1,0.15985,0.009703,0.009703,0.009703
8,521.802,0.16316,0.93396,1,0.19822,0.0096535,0.0096535,0.0096535
9,587.213,0.15984,0.91601,1,0.23946,0.009604,0.009604,0.009604
10,652.582,0.13844,0.93754,1,0.21273,0.0095545,0.0095545,0.0095545
11,717.618,0.12114,0.95621,1,0.1405,0.009505,0.009505,0.009505
12,782.836,0.10753,0.9476,1,0.14324,0.0094555,0.0094555,0.0094555
13,848.187,0.10553,0.93683,1,0.14727,0.009406,0.009406,0.009406
14,913.554,0.09518,0.95477,1,0.11787,0.0093565,0.0093565,0.0093565
15,978.865,0.06882,0.96123,1,0.13633,0.009307,0.009307,0.009307
16,1044.21,0.0839,0.96123,1,0.12312,0.0092575,0.0092575,0.0092575
17,1109.44,0.07464,0.95406,1,0.14452,0.009208,0.009208,0.009208
18,1174.82,0.06106,0.95765,1,0.16743,0.0091585,0.0091585,0.0091585
19,1240.45,0.07336,0.95047,1,0.18271,0.009109,0.009109,0.009109
20,1305.81,0.05092,0.95693,1,0.15938,0.0090595,0.0090595,0.0090595
21,1371.24,0.05802,0.94903,1,0.18309,0.00901,0.00901,0.00901
22,1436.65,0.03967,0.95765,1,0.14169,0.0089605,0.0089605,0.0089605
23,1502.08,0.04035,0.95908,1,0.15504,0.008911,0.008911,0.008911
24,1568.9,0.04723,0.96482,1,0.12667,0.0088615,0.0088615,0.0088615
25,1634.43,0.03212,0.96052,1,0.1478,0.008812,0.008812,0.008812
26,1699.82,0.02924,0.96626,1,0.15305,0.0087625,0.0087625,0.0087625
27,1765.68,0.05047,0.96195,1,0.13991,0.008713,0.008713,0.008713
28,1831.17,0.02772,0.96554,1,0.1601,0.0086635,0.0086635,0.0086635
29,1896.91,0.04667,0.96195,1,0.16746,0.008614,0.008614,0.008614
30,1962.42,0.02299,0.96841,1,0.13837,0.0085645,0.0085645,0.0085645
31,2028,0.0293,0.95693,1,0.19207,0.008515,0.008515,0.008515
32,2093.56,0.03076,0.96482,1,0.15069,0.0084655,0.0084655,0.0084655
33,2159.29,0.02365,0.96195,1,0.17264,0.008416,0.008416,0.008416
34,2224.87,0.02062,0.96267,1,0.149,0.0083665,0.0083665,0.0083665
35,2290.41,0.0112,0.96698,1,0.20159,0.008317,0.008317,0.008317
36,2356.01,0.02775,0.96123,1,0.15114,0.0082675,0.0082675,0.0082675
37,2421.59,0.02753,0.95765,1,0.18037,0.008218,0.008218,0.008218
38,2487.14,0.01751,0.97128,1,0.13919,0.0081685,0.0081685,0.0081685
39,2552.79,0.01902,0.95765,1,0.20518,0.008119,0.008119,0.008119
40,2618.44,0.02049,0.96267,1,0.15336,0.0080695,0.0080695,0.0080695
41,2685.08,0.01775,0.96052,1,0.173,0.00802,0.00802,0.00802
42,2751.08,0.01738,0.95908,1,0.16811,0.0079705,0.0079705,0.0079705
43,2817.2,0.01551,0.96267,1,0.18485,0.007921,0.007921,0.007921
44,2883.24,0.0166,0.95908,1,0.20381,0.0078715,0.0078715,0.0078715
45,2949.15,0.0192,0.96195,1,0.18762,0.007822,0.007822,0.007822
46,3016.8,0.00942,0.96123,1,0.21676,0.0077725,0.0077725,0.0077725
47,3083.45,0.01804,0.96339,1,0.15576,0.007723,0.007723,0.007723
48,3148.83,0.01811,0.96626,1,0.14396,0.0076735,0.0076735,0.0076735
49,3214.38,0.01449,0.96554,1,0.21333,0.007624,0.007624,0.007624
50,3279.92,0.00972,0.96554,1,0.16299,0.0075745,0.0075745,0.0075745
51,3345.77,0.01203,0.96267,1,0.16251,0.007525,0.007525,0.007525
52,3411.27,0.01253,0.95908,1,0.18457,0.0074755,0.0074755,0.0074755
53,3476.8,0.01499,0.96267,1,0.16518,0.007426,0.007426,0.007426
54,3542.43,0.01402,0.96698,1,0.15736,0.0073765,0.0073765,0.0073765
55,3608.09,0.01406,0.96482,1,0.14587,0.007327,0.007327,0.007327
56,3673.48,0.00489,0.96267,1,0.1578,0.0072775,0.0072775,0.0072775
57,3739.08,0.00865,0.96411,1,0.17526,0.007228,0.007228,0.007228
58,3804.69,0.00912,0.96411,1,0.16562,0.0071785,0.0071785,0.0071785
59,3870.5,0.01053,0.96841,1,0.16364,0.007129,0.007129,0.007129
60,3936.04,0.00665,0.96339,1,0.2118,0.0070795,0.0070795,0.0070795
61,4001.71,0.01656,0.96267,1,0.18993,0.00703,0.00703,0.00703
62,4067.23,0.01511,0.972,1,0.14096,0.0069805,0.0069805,0.0069805
63,4132.92,0.01028,0.97416,1,0.14072,0.006931,0.006931,0.006931
64,4198.44,0.00737,0.97057,1,0.16541,0.0068815,0.0068815,0.0068815
65,4264,0.00793,0.96554,1,0.17561,0.006832,0.006832,0.006832
66,4329.69,0.01542,0.97057,1,0.16875,0.0067825,0.0067825,0.0067825
67,4395.4,0.01413,0.96698,1,0.16221,0.006733,0.006733,0.006733
68,4460.87,0.01144,0.96841,1,0.15731,0.0066835,0.0066835,0.0066835
69,4526.46,0.00657,0.972,1,0.13576,0.006634,0.006634,0.006634
70,4591.9,0.00872,0.97128,1,0.13689,0.0065845,0.0065845,0.0065845
71,4657.67,0.00774,0.97128,1,0.1461,0.006535,0.006535,0.006535
72,4723.37,0.00644,0.97272,1,0.14471,0.0064855,0.0064855,0.0064855
73,4789.21,0.00348,0.97487,1,0.13012,0.006436,0.006436,0.006436
74,4854.95,0.00847,0.97128,1,0.15465,0.0063865,0.0063865,0.0063865
75,4920.69,0.00601,0.97057,1,0.1499,0.006337,0.006337,0.006337
76,4986.22,0.00787,0.97057,1,0.14717,0.0062875,0.0062875,0.0062875
77,5051.84,0.00629,0.972,1,0.15963,0.006238,0.006238,0.006238
78,5117.63,0.00429,0.96698,1,0.17566,0.0061885,0.0061885,0.0061885
79,5183.3,0.00186,0.972,1,0.14059,0.006139,0.006139,0.006139
80,5249.16,0.00275,0.97416,1,0.14603,0.0060895,0.0060895,0.0060895
81,5315,0.00372,0.972,1,0.15688,0.00604,0.00604,0.00604
82,5380.59,0.00541,0.96985,1,0.15851,0.0059905,0.0059905,0.0059905
83,5446.27,0.00656,0.97272,1,0.15225,0.005941,0.005941,0.005941
84,5511.99,0.00224,0.97344,1,0.16138,0.0058915,0.0058915,0.0058915
85,5577.89,0.00502,0.97344,1,0.14876,0.005842,0.005842,0.005842
86,5643.65,0.00221,0.97487,1,0.1397,0.0057925,0.0057925,0.0057925
87,5709.34,0.00451,0.972,1,0.14431,0.005743,0.005743,0.005743
